worker_id,city_risk_index,rainfall_last_3day_avg,flood_zone_flag,traffic_peak_index,pollution_spike_flag,parcel_demand_index,historical_income_variance,active_hours_ratio,gps_jump_distance,claim_frequency_7day,nearby_claim_cluster_score,income_loss_hours
WRK-00033,0.7507,102.71,1,1.0,0,0.0538,1.0,0.5245,2.5,4.0,0.4275,13.81
WRK-00034,0.682,87.63,1,0.8563,0,0.05,1.0,0.6473,0.62,4.0,0.3805,21.22
WRK-00035,0.3506,33.98,0,0.6157,0,0.5104,0.5344,0.2881,61.09,7.5,0.7539,15.92
WRK-00036,0.6618,82.16,0,1.0,0,0.6922,0.5119,0.6691,0.15,3.0,0.1385,5.99
WRK-00037,0.6197,51.81,0,0.7682,1,0.4313,0.673,0.7437,0.07,0.0,0.2562,0.35
WRK-00038,0.5303,31.17,0,0.792,0,0.4781,0.436,0.7094,0.96,1.0,0.3369,4.96
WRK-00039,0.5458,56.68,0,0.9292,0,0.6834,0.3212,0.8685,1.83,1.0,0.1715,4.65
WRK-00040,0.4461,36.36,0,0.5958,1,0.5902,0.1838,0.8885,0.49,0.0,0.0681,1.0
WRK-00041,0.4697,59.62,0,0.892,0,0.6365,0.2548,0.5063,3.24,2.0,0.2875,7.1
WRK-00042,0.5522,55.64,1,1.0,0,0.4256,0.6799,0.7035,0.65,3.0,0.3441,14.72
WRK-00043,0.3325,61.39,0,0.7748,0,0.7124,0.505,0.8193,0.49,1.0,0.1753,2.21
WRK-00044,0.5027,67.21,0,1.0,0,0.7171,0.3087,0.7313,5.57,1.0,0.0828,8.25
WRK-00045,0.5888,121.61,1,1.0,0,0.05,1.0,0.2196,53.84,9.6,0.8329,35.07
WRK-00046,0.2167,17.48,0,0.5587,0,0.4719,0.5515,0.7779,0.62,0.0,0.3279,0.0
WRK-00047,0.7055,89.87,1,1.0,0,0.2115,1.0,0.8212,4.71,4.0,0.3654,21.42
WRK-00048,0.3153,24.6,0,0.4242,0,0.6622,0.0902,0.565,7.7,0.0,0.1302,0.0
WRK-00049,0.2409,73.36,0,0.7922,0,0.7697,0.3454,0.6569,2.04,2.0,0.3923,0.2
WRK-00050,0.4932,51.69,0,0.7893,1,0.724,0.2013,0.2247,96.94,5.6,0.6571,15.57
WRK-00051,0.6196,74.85,0,0.9061,0,0.5476,0.3156,0.7931,1.49,1.0,0.3324,4.34
WRK-00052,0.6612,28.83,0,0.744,1,0.7446,0.2505,0.6795,0.1,1.0,0.1439,0.93
WRK-00053,0.4594,71.28,0,0.9773,0,0.7243,0.2616,0.8563,3.53,0.0,0.381,5.65
WRK-00054,0.6807,97.82,0,0.8619,0,0.2617,1.0,0.6869,4.94,2.0,0.2428,8.6
WRK-00055,0.751,127.13,1,1.0,0,0.6927,0.1791,0.9024,1.59,1.0,0.2481,20.58
WRK-00056,0.8098,107.59,0,1.0,0,0.5387,0.5555,0.848,3.21,2.0,0.3023,8.93
WRK-00057,0.6225,105.01,0,0.9391,0,0.2211,1.0,0.5636,0.54,3.0,0.1731,8.73
WRK-00058,0.5527,60.47,0,1.0,0,0.2358,1.0,0.8094,0.43,1.0,0.1175,5.34
WRK-00059,0.424,71.99,0,0.7889,1,0.6647,0.5322,0.6679,0.72,0.0,0.3617,1.23
WRK-00060,0.4443,49.55,0,0.7086,0,0.8281,0.4573,0.5944,1.33,0.0,0.1677,0.0
WRK-00061,0.3694,13.52,0,0.524,0,0.6324,0.1182,0.8453,1.79,1.0,0.3686,3.37
WRK-00062,0.3904,23.38,0,0.6946,0,0.7438,0.5019,0.6094,1.26,2.0,0.32,1.25
WRK-00063,0.5904,125.0,0,1.0,1,0.352,0.8506,0.6217,1.27,0.0,0.1303,8.85
WRK-00064,0.4768,23.01,0,0.7202,1,0.753,0.4817,0.7524,4.0,0.0,0.3471,2.77
WRK-00065,0.7182,83.17,0,0.8024,0,0.8469,0.5188,0.5863,5.02,1.0,0.081,8.4
WRK-00066,0.6175,48.14,0,0.8708,0,0.4655,0.4863,0.4994,2.18,4.0,0.3163,6.63
WRK-00067,0.3491,34.12,0,0.5432,0,0.848,0.5738,0.5869,0.16,1.0,0.2546,3.06
WRK-00068,0.6098,67.14,0,1.0,1,0.1174,1.0,0.7333,2.44,2.0,0.1444,9.24
WRK-00069,0.7634,96.03,1,1.0,0,0.2388,1.0,0.8811,2.02,6.0,0.3567,14.08
WRK-00070,0.9417,75.94,1,0.9795,0,0.4477,0.9297,0.2201,61.03,8.6,0.7862,24.9
WRK-00071,0.3546,53.54,0,0.7291,1,0.8316,0.4696,0.6378,0.28,0.0,0.0337,4.51
WRK-00072,0.4949,36.51,0,0.9461,0,0.4612,0.4769,0.635,3.31,0.0,0.0166,8.67
WRK-00073,0.7135,93.71,0,0.8647,0,0.598,0.177,0.647,1.09,2.0,0.0286,10.43
WRK-00074,0.5818,26.38,0,0.9238,0,0.1836,1.0,0.8486,1.81,0.0,0.268,8.82
WRK-00075,0.556,45.25,0,0.7953,0,0.4177,0.6805,0.6802,6.57,0.0,0.1043,5.66
WRK-00076,0.6265,92.55,0,0.8825,1,0.5906,0.3082,0.8317,0.6,0.0,0.3408,8.16
WRK-00077,0.5524,61.6,0,1.0,0,0.6893,0.1035,0.525,7.25,2.0,0.0019,5.33
WRK-00078,0.643,33.64,0,0.8723,0,0.2364,1.0,0.5124,4.24,0.0,0.1872,6.63
WRK-00079,0.7064,92.49,0,1.0,0,0.7783,0.4525,0.4876,0.43,1.0,0.0391,9.59
WRK-00080,0.3231,20.24,0,0.7135,0,0.9381,0.8352,0.7714,0.31,0.0,0.2181,3.76
WRK-00081,0.4926,19.19,0,0.6354,0,0.4584,0.5555,0.7671,0.71,0.0,0.3088,2.39
WRK-00082,0.7783,84.6,0,0.9449,0,0.2269,1.0,0.6954,4.88,1.0,0.0314,7.03
WRK-00083,0.598,31.85,0,0.8986,0,0.4509,0.5017,0.8512,0.13,0.0,0.3947,4.44
WRK-00084,0.4663,28.79,0,0.5848,0,0.9951,1.0,0.854,1.25,0.0,0.214,1.47
WRK-00085,0.4181,41.18,0,0.6703,0,0.5272,0.5543,0.6891,0.53,0.0,0.3948,1.49
WRK-00086,0.3937,51.14,0,0.6153,0,0.4758,0.4919,0.6971,0.36,1.0,0.3121,1.5
WRK-00087,0.7713,128.6,0,1.0,0,0.839,0.6062,0.4042,1.98,1.0,0.1872,11.08
WRK-00088,0.4825,78.26,0,1.0,0,0.3325,0.9936,0.9086,1.71,2.0,0.0866,7.85
WRK-00089,0.3821,37.81,1,0.7129,1,0.7544,0.3159,0.1909,35.64,6.5,0.6311,17.38
WRK-00090,0.3661,37.62,0,0.5124,0,0.8575,0.6794,0.6229,0.95,0.0,0.0444,2.04
WRK-00091,0.6198,86.95,0,0.8271,0,0.5185,0.3368,0.3325,49.12,10.2,0.7237,26.34
WRK-00092,0.4678,67.61,0,0.8493,0,0.9222,0.867,0.2663,63.23,4.1,0.8139,17.87
WRK-00093,0.4478,80.6,0,0.7987,1,0.7764,0.4216,0.9115,0.37,1.0,0.237,3.73
WRK-00094,0.6972,99.8,1,1.0,0,0.454,0.5882,0.8415,3.34,5.0,0.2274,16.24
WRK-00095,0.4201,13.41,0,0.4436,1,0.8429,0.6309,0.7313,1.19,1.0,0.0355,4.58
WRK-00096,0.4298,67.64,0,1.0,0,0.4571,0.5643,0.7501,0.53,0.0,0.0395,5.95
WRK-00097,0.6673,39.56,0,0.9032,0,0.6505,0.01,0.8181,1.73,0.0,0.3522,1.73
WRK-00098,0.3786,24.71,0,0.6873,0,0.8418,0.6827,0.886,5.04,1.0,0.0532,5.29
WRK-00099,0.3653,34.76,0,0.6019,0,0.9281,0.7609,0.8673,4.47,1.0,0.163,0.88
WRK-00100,0.5886,46.88,1,0.953,1,0.4923,0.5998,0.7764,1.79,2.0,0.1533,16.6
WRK-00101,0.3031,57.09,0,0.8918,0,0.7949,0.486,0.5366,1.45,1.0,0.2754,4.39
WRK-00102,0.4868,13.72,1,0.6093,0,0.294,0.9142,0.7847,0.24,5.0,0.3735,8.16
WRK-00103,0.5285,52.01,0,0.7602,0,0.5251,0.3772,0.7319,2.11,1.0,0.0584,0.03
WRK-00104,0.581,126.71,0,1.0,0,0.4765,0.7432,0.6929,0.24,1.0,0.2719,11.74
WRK-00105,0.5394,43.47,0,0.6616,0,0.5271,0.5428,0.8497,2.11,0.0,0.1681,2.87
WRK-00106,0.5709,52.29,0,0.6946,0,0.8819,0.6106,0.7518,2.1,2.0,0.3899,4.94
WRK-00107,0.4204,95.04,0,0.8798,0,0.3115,1.0,0.6442,2.53,1.0,0.2245,11.86
WRK-00108,0.4233,62.19,0,0.7668,0,0.6559,0.0187,0.7098,2.51,0.0,0.0366,0.8
WRK-00109,0.7695,129.96,1,1.0,0,0.3901,0.6904,0.5863,2.12,9.0,0.2499,23.6
WRK-00110,0.3627,70.11,0,0.7815,0,0.8426,0.6997,0.7992,0.75,1.0,0.1175,3.16
WRK-00111,0.5494,50.23,0,1.0,0,0.2881,1.0,0.815,0.34,2.0,0.0311,4.54
WRK-00112,0.3963,52.12,0,0.6701,0,0.9382,0.7445,0.3448,1.09,1.0,0.0438,1.63
WRK-00113,0.6118,91.91,0,1.0,0,0.3783,0.7615,0.8362,4.07,3.0,0.3802,9.78
WRK-00114,0.6161,87.95,0,0.6502,0,0.4253,0.5838,0.5145,2.79,2.0,0.2881,7.67
WRK-00115,0.6774,82.82,0,1.0,1,0.3559,0.9138,0.6662,0.01,2.0,0.2203,9.0
WRK-00116,0.7426,119.93,0,1.0,0,0.6614,0.3664,0.4684,1.55,1.0,0.0341,10.52
WRK-00117,0.7053,83.98,0,1.0,1,0.3303,0.8072,0.3888,1.21,2.0,0.3549,9.76
WRK-00118,0.4483,26.18,0,1.0,1,0.1841,1.0,0.5851,1.76,1.0,0.0132,2.19
WRK-00119,0.4634,14.36,0,0.6488,0,0.5317,0.3557,0.7202,0.89,2.0,0.3868,3.62
WRK-00120,0.7516,86.51,0,1.0,0,0.5497,0.3,0.7266,0.03,1.0,0.2411,10.69
WRK-00121,0.8275,114.81,1,1.0,0,0.1683,1.0,0.7323,3.6,4.0,0.3596,22.77
WRK-00122,0.4315,63.31,0,0.7595,0,0.4384,0.5809,0.8157,0.45,1.0,0.0759,4.2
WRK-00123,0.369,92.81,0,0.7354,0,0.5587,0.2876,0.816,4.06,1.0,0.198,4.9
WRK-00124,0.7413,97.48,1,0.974,0,0.4379,0.653,0.6446,0.04,2.0,0.1018,16.78
WRK-00125,0.4308,40.04,0,0.748,0,0.6299,0.105,0.8273,0.13,1.0,0.1043,2.77
WRK-00126,0.6197,84.07,0,0.8971,0,0.5458,0.5666,0.7095,2.77,1.0,0.0067,8.44
WRK-00127,0.6433,99.55,0,1.0,0,0.7449,0.5102,0.5546,0.45,2.0,0.0862,8.17
WRK-00128,0.5627,57.49,0,0.6673,0,0.8147,0.4813,0.8914,3.47,1.0,0.0525,1.73
WRK-00129,0.4469,103.56,1,0.979,1,0.5939,0.3175,0.6849,0.19,3.0,0.3394,17.25
WRK-00130,0.4638,57.72,0,0.8,0,0.4739,0.716,0.5243,0.04,2.0,0.1375,5.06
WRK-00131,0.6129,99.2,0,1.0,0,0.5127,0.8001,0.8326,4.53,3.0,0.0214,9.27
WRK-00132,0.6172,83.1,0,1.0,0,0.4329,0.6062,0.7837,0.05,0.0,0.1172,10.25
WRK-00133,0.8554,122.99,0,1.0,0,0.5951,0.486,0.7302,0.27,0.0,0.1991,13.16
WRK-00134,0.5929,68.84,1,0.9844,1,0.05,1.0,0.7906,2.76,3.0,0.399,16.81
WRK-00135,0.3956,55.68,0,0.7156,0,0.6016,0.1573,0.8753,1.12,1.0,0.2489,1.4
WRK-00136,0.4696,76.2,0,1.0,1,0.5517,0.5396,0.6378,0.67,0.0,0.2933,6.33
WRK-00137,0.6831,85.23,1,1.0,0,0.3119,0.9175,0.7909,0.89,3.0,0.2166,19.28
WRK-00138,0.6847,110.56,1,1.0,1,0.129,1.0,0.1795,16.69,5.8,0.73,41.07
WRK-00139,0.3541,55.54,0,0.9058,1,0.3353,0.9042,0.6511,0.56,1.0,0.1686,2.72
WRK-00140,0.6107,81.17,0,0.7783,0,0.5334,0.4593,0.77,0.41,1.0,0.0097,5.07
WRK-00141,0.4825,7.42,0,0.3794,0,0.6628,0.1296,0.6665,0.8,0.0,0.0853,1.6
WRK-00142,0.556,31.1,0,0.7592,0,0.5767,0.2181,0.8706,1.23,3.0,0.3768,4.68
WRK-00143,0.5161,58.64,0,0.9839,0,0.6989,0.3864,0.3209,58.05,6.3,0.657,26.42
WRK-00144,0.6591,70.75,0,0.9832,0,0.5618,0.7593,0.6851,2.9,0.0,0.0103,5.75
WRK-00145,0.3272,6.68,0,0.485,0,0.3874,0.898,0.8287,0.7,0.0,0.0479,0.73
WRK-00146,0.5842,50.09,0,0.629,1,0.4005,0.6526,0.8092,0.44,1.0,0.0431,3.06
WRK-00147,0.7049,109.51,1,1.0,1,0.3791,0.8054,0.7213,2.76,2.0,0.6152,17.09
WRK-00148,0.5145,40.56,0,0.8566,0,0.5028,0.5773,0.8437,0.65,2.0,0.2188,6.67
WRK-00149,0.5377,65.86,0,0.735,0,0.5414,0.4395,0.7746,1.66,5.0,0.0926,2.42
WRK-00150,0.6622,155.9,1,1.0,0,0.1412,1.0,0.7961,1.95,0.0,0.4256,26.67
WRK-00151,0.4024,95.3,0,0.9713,1,0.738,0.35,0.8304,1.45,2.0,0.0278,7.35
WRK-00152,0.4808,78.05,0,0.9714,1,0.5234,0.3686,0.7789,1.58,0.0,0.0447,7.75
WRK-00153,0.38,34.33,0,0.4697,1,0.4585,0.5559,0.8849,0.46,1.0,0.0939,1.48
WRK-00154,0.5008,67.11,0,1.0,0,0.6533,0.01,0.8714,5.4,0.0,0.2507,4.45
WRK-00155,0.8473,76.42,0,0.8302,0,0.4357,0.6239,0.6017,2.75,1.0,0.3964,6.06
WRK-00156,0.4269,43.6,0,0.805,1,0.4999,0.4237,0.7687,0.52,1.0,0.0139,3.8
WRK-00157,0.3598,20.4,0,0.7989,1,0.9875,0.9183,0.6426,0.87,0.0,0.1712,1.83
WRK-00158,0.6761,61.33,1,0.876,0,0.4581,0.5275,0.4882,0.2,1.0,0.2031,13.59
WRK-00159,0.653,80.82,0,1.0,1,0.3799,0.8733,0.6981,8.4,0.0,0.1166,12.65
WRK-00160,0.4535,96.61,1,0.7561,0,0.5338,0.3186,0.6992,2.16,6.0,0.0722,15.79
WRK-00161,0.3997,15.43,0,0.5733,0,0.5691,0.443,0.501,0.55,1.0,0.362,4.12
WRK-00162,0.3977,53.86,0,0.6823,0,0.7905,0.4111,0.6143,4.18,0.0,0.3271,0.01
WRK-00163,0.6758,70.17,0,0.9426,0,0.6822,0.2435,0.8176,2.49,0.0,0.3323,7.48
WRK-00164,0.729,56.13,0,0.7667,0,0.7229,0.2516,0.7586,1.04,0.0,0.1409,0.18
WRK-00165,0.6366,74.9,1,0.8889,0,0.05,1.0,0.6501,0.46,1.0,0.0853,17.62
WRK-00166,0.3742,36.27,0,0.6801,0,0.3604,0.9242,0.5595,1.8,0.0,0.1139,4.77
WRK-00167,0.7219,94.36,0,1.0,0,0.6898,0.279,0.8972,0.59,2.0,0.317,11.56
WRK-00168,0.4927,45.69,0,0.867,0,0.4864,0.5554,0.6977,0.09,0.0,0.3825,2.67
WRK-00169,0.488,69.92,0,1.0,0,0.7337,0.6725,0.8525,1.04,1.0,0.0807,3.95
WRK-00170,0.6003,132.5,1,1.0,0,0.05,1.0,0.4628,3.17,5.0,0.3155,16.82
WRK-00171,0.7293,98.11,0,1.0,0,0.8673,0.5962,0.8866,8.59,2.0,0.277,6.86
WRK-00172,0.6453,104.08,0,1.0,0,0.2626,1.0,0.8421,3.64,3.0,0.1276,10.41
WRK-00173,0.4146,57.51,0,0.9554,0,0.1728,1.0,0.8787,0.56,3.0,0.2082,9.48
WRK-00174,0.4836,72.52,1,0.7988,0,0.6987,0.2262,0.779,1.13,2.0,0.0812,12.87
WRK-00175,0.4378,38.84,0,0.4718,0,0.6462,0.2973,0.7603,0.68,0.0,0.3232,1.52
WRK-00176,0.7255,91.7,0,0.8718,0,0.4248,0.6379,0.8267,1.04,5.0,0.051,10.36
WRK-00177,0.2583,27.96,0,0.5376,0,0.8279,0.4895,0.6019,0.31,1.0,0.2669,2.2
WRK-00178,0.697,20.53,0,0.8853,1,0.4355,0.5641,0.6784,8.96,1.0,0.12,6.87
WRK-00179,0.2846,27.15,0,0.574,1,1.0,0.9184,0.8569,4.3,1.0,0.1308,3.83
WRK-00180,0.7723,111.37,1,1.0,1,0.4554,0.5237,0.8005,0.22,2.0,0.5669,14.97
WRK-00181,0.4617,12.81,0,0.5874,1,0.8268,0.443,0.9236,3.29,1.0,0.0908,1.39
WRK-00182,0.5962,15.99,0,0.8466,1,0.508,0.5307,0.7772,6.32,1.0,0.2706,5.21
WRK-00183,0.6116,82.82,0,0.8006,1,0.2548,1.0,0.7518,2.21,2.0,0.0178,10.67
WRK-00184,0.4121,59.49,0,0.7689,1,0.9158,0.7163,0.1221,77.85,9.5,0.8478,25.37
WRK-00185,0.6423,63.62,1,0.9502,0,0.05,1.0,0.7634,1.18,5.0,0.3409,13.83
WRK-00186,0.6823,76.07,1,0.7625,0,0.2489,1.0,0.7914,0.1,1.0,0.0783,11.41
WRK-00187,0.53,40.38,0,0.8458,0,0.7536,0.4413,0.8869,0.49,1.0,0.2131,3.5
WRK-00188,0.5169,81.65,1,0.9233,0,0.4152,0.9181,0.2163,68.64,5.8,0.9784,32.63
WRK-00189,0.6397,24.08,0,0.8301,1,0.5955,0.2096,0.1121,68.18,6.2,0.6602,13.61
WRK-00190,0.4735,70.05,0,1.0,0,0.5175,0.3374,0.7595,0.35,0.0,0.3005,6.99
WRK-00191,0.3612,39.51,1,0.7268,0,0.8447,0.9177,0.5127,0.87,0.0,0.1838,4.65
WRK-00192,0.3552,48.07,0,0.7267,0,0.5012,0.4268,0.5822,1.49,1.0,0.1222,3.94
WRK-00193,0.6787,73.32,0,0.9854,0,0.1479,1.0,0.7441,4.15,1.0,0.0134,5.98
WRK-00194,0.4085,60.53,0,1.0,1,0.2038,1.0,0.7594,2.38,1.0,0.1493,5.92
WRK-00195,0.1996,34.65,0,0.6072,0,0.6708,0.2637,0.8218,0.05,0.0,0.343,2.77
WRK-00196,0.7526,92.86,0,1.0,0,0.677,0.1418,0.8369,1.93,5.0,0.1112,10.55
WRK-00197,0.5215,60.08,0,1.0,0,0.4304,0.926,0.8048,1.21,1.0,0.1221,6.24
WRK-00198,0.704,119.5,1,1.0,0,0.3864,0.7397,0.6118,1.06,5.0,0.2173,22.94
WRK-00199,0.3882,86.35,0,1.0,0,0.5018,0.3876,0.7341,0.4,2.0,0.0387,7.66
WRK-00200,0.3871,8.31,0,0.4324,0,0.5656,0.6538,0.7302,4.85,2.0,0.05,1.61
WRK-00201,0.3628,65.65,0,1.0,0,0.271,1.0,0.7332,3.96,0.0,0.033,5.44
WRK-00202,0.2978,18.84,1,0.6551,0,0.1011,1.0,0.7572,1.75,1.0,0.1895,11.14
WRK-00203,0.6199,77.62,1,0.808,0,0.2382,1.0,0.6639,1.34,1.0,0.3722,21.64
WRK-00204,0.4675,37.21,0,0.6493,0,0.4459,0.6787,0.7934,2.07,0.0,0.3558,1.29
WRK-00205,0.651,71.3,0,0.8255,0,0.3633,0.836,0.7721,0.87,1.0,0.0513,4.55
WRK-00206,0.4442,67.39,1,1.0,1,0.05,1.0,0.9007,0.67,4.0,0.3304,14.09
WRK-00207,0.6064,31.96,0,0.8092,0,0.7309,0.3966,0.5945,0.56,0.0,0.1152,6.21
WRK-00208,0.4082,32.35,0,0.5587,0,0.673,0.148,0.719,1.92,0.0,0.0617,0.11
WRK-00209,0.5071,76.84,1,0.8332,0,0.324,0.818,0.5519,2.79,2.0,0.2268,16.32
WRK-00210,0.4204,48.87,0,0.8388,0,0.4663,0.5702,0.5823,3.66,0.0,0.34,5.26
WRK-00211,0.4323,65.02,0,1.0,0,0.3215,1.0,0.5787,2.53,0.0,0.355,2.53
WRK-00212,0.2251,58.96,0,0.7308,0,0.7575,0.367,0.4905,2.35,0.0,0.263,0.0
WRK-00213,0.5275,60.77,0,0.8594,0,0.5241,0.3652,0.6843,2.55,3.0,0.3134,7.86
WRK-00214,0.7159,127.39,1,1.0,1,0.3906,0.673,0.5171,2.45,5.0,0.3905,15.31
WRK-00215,0.3857,70.89,0,0.7123,0,0.5286,0.5169,0.6418,2.71,0.0,0.2488,1.86
WRK-00216,0.469,82.3,0,1.0,0,0.25,1.0,0.2629,65.27,7.3,0.9896,33.49
WRK-00217,0.7789,99.35,0,1.0,1,0.7478,0.3518,0.5621,3.44,4.0,0.0723,13.29
WRK-00218,0.5956,77.63,1,1.0,0,0.05,1.0,0.6047,0.15,1.0,0.347,12.01
WRK-00219,0.6328,59.01,0,0.9577,0,0.3328,0.8894,0.6115,7.41,0.0,0.2822,8.04
WRK-00220,0.2891,30.18,0,0.6228,0,0.761,0.7357,0.4819,3.12,0.0,0.2869,3.02
WRK-00221,0.6917,26.86,0,0.819,1,0.799,0.4346,0.8226,0.04,0.0,0.1705,3.38
WRK-00222,0.7501,94.49,1,1.0,1,0.2671,0.9805,0.8295,0.52,4.0,0.0594,16.74
WRK-00223,0.2238,81.71,0,0.7174,0,0.8884,0.6017,0.4435,4.8,0.0,0.0575,5.13
WRK-00224,0.4289,19.36,1,0.9216,1,0.3405,0.937,0.1671,73.75,9.7,0.9818,21.53
WRK-00225,0.3894,40.56,0,0.6886,0,0.8483,0.7228,0.6742,0.97,2.0,0.3093,5.42
WRK-00226,0.4422,74.96,0,1.0,0,0.2863,1.0,0.9339,0.75,0.0,0.3206,8.3
WRK-00227,0.344,53.04,0,0.6817,0,0.6164,0.1199,0.7534,1.43,1.0,0.3332,1.09
WRK-00228,0.8056,113.35,0,1.0,0,0.0606,1.0,0.9179,0.01,1.0,0.2498,10.42
WRK-00229,0.675,82.28,0,0.9244,0,0.5712,0.4242,0.8857,2.66,1.0,0.0608,9.68
WRK-00230,0.588,26.56,0,0.8221,0,0.6273,0.1828,0.6899,0.48,0.0,0.1419,3.4
WRK-00231,0.6246,89.04,1,0.7834,0,0.6053,0.3269,0.592,2.57,4.0,0.25,18.53
WRK-00232,0.5078,56.55,1,0.7349,0,0.6436,0.2321,0.8577,8.89,4.0,0.1126,11.08
WRK-00233,0.6896,96.35,1,1.0,0,0.3043,0.9625,0.7904,1.7,5.0,0.0225,14.83
WRK-00234,0.4273,62.57,0,0.8212,0,0.7209,0.4496,0.72,0.2,2.0,0.2951,6.85
WRK-00235,0.7289,164.56,0,1.0,0,0.5838,0.3212,0.7736,3.41,2.0,0.2685,11.87
WRK-00236,0.2697,48.41,0,0.4833,0,0.8922,0.6459,0.7637,0.16,0.0,0.3578,4.07
WRK-00237,0.5278,70.49,0,0.7283,0,0.4387,0.5437,0.435,0.15,0.0,0.2678,0.0
WRK-00238,0.6946,75.93,1,0.7614,1,0.5016,0.4845,0.5724,4.36,2.0,0.056,16.56
WRK-00239,0.5825,69.41,0,0.9748,0,0.7788,0.4769,0.6375,1.95,0.0,0.1899,5.48
WRK-00240,0.314,55.42,0,0.7966,1,0.538,0.4685,0.7614,1.44,0.0,0.0093,0.05
WRK-00241,0.4761,37.61,0,0.7277,0,0.7593,0.4557,0.817,4.0,1.0,0.3305,4.07
WRK-00242,0.557,72.6,0,0.9414,0,0.3368,1.0,0.8883,8.84,0.0,0.16,3.63
WRK-00243,0.74,103.83,1,1.0,0,0.5186,0.3391,0.5194,0.62,2.0,0.6367,20.5
WRK-00244,0.4053,77.33,0,0.726,1,0.8045,0.4761,0.678,2.27,1.0,0.0771,0.0
WRK-00245,0.3628,49.52,1,0.6202,0,0.7954,0.4571,0.883,0.04,3.0,0.0196,12.08
WRK-00246,0.6389,101.53,1,1.0,0,0.3943,0.7361,0.5066,2.86,6.0,0.4757,16.85
